description,name,PONAME,ZIP,latitude,POP2001,STATE,AREA,zip2,longitude,SUMBLKPOP,geometry
,Zip:,MONROE,98272,47.8569,24240,WA,95.70935,98272,-121.905,23806,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.000427,47.775049 -121.838215,47.776148 -121.794226,47.961455 -121.854161,47.972452 -122.051015,47.831135 -122.018023,47.775599</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,MOUNT VERNON,98273,48.4052,27020,WA,92.97146,98273,-122.368,25648,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.280311,48.475033 -122.444722,48.486581 -122.476064,48.519023 -122.516755,48.458537 -122.515655,48.455788 -122.49476,48.377156 -122.36939,48.291927 -122.303955,48.297425 -122.334198,48.421146 -122.191232,48.383205</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,MOUNT VERNON,98274,48.3425,13720,WA,88.45736,98274,-122.181,13326,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.935542,48.297975 -122.191232,48.383205 -122.334198,48.421146 -122.303955,48.297425 -122.226423,48.297425</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,MUKILTEO,98275,47.9097,18882,WA,6.50718,98275,-122.303,17995,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.28416,47.888322 -122.279761,47.922414 -122.291308,47.952107 -122.3276,47.893821 -122.291308,47.874575</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,OAK HARBOR,98277,48.3165,35130,WA,56.51158,98277,-122.631,34599,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.505208,48.297425 -122.666319,48.369458 -122.702611,48.32162 -122.759797,48.245188 -122.729555,48.231991</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,OAK HARBOR,98278,48.3425,2038,WA,5.18551,98278,-122.663,2037,
,Zip:,OLGA,98279,48.6575,1413,WA,21.22275,98279,-122.821,945,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.743851,48.661989 -122.884618,48.712027 -122.868122,48.647143</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,POINT ROBERTS,98281,48.9884,1339,WA,4.90554,98281,-123.058,1308,
,Zip:,CAMANO ISLAND,98282,48.1886,13946,WA,41.4041,98282,-122.469,13358,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.5371,48.184152 -122.358392,48.054933 -122.478814,48.175904 -122.386436,48.225942 -122.397433,48.249587</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,ROCKPORT,98283,48.4702,245,WA,24.10528,98283,-121.517,274,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.603971,48.486581 -121.4808,48.420046 -121.419214,48.518473 -121.449457,48.527271</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SEDRO WOOLLEY,98284,48.4879,22536,WA,549.35234,98284,-121.997,22138,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.636963,48.408499 -121.930593,48.516274 -121.729891,48.643293 -121.961936,48.644943 -122.121398,48.646043 -122.268214,48.707628 -122.332548,48.620199 -122.280311,48.475033 -122.191232,48.383205 -121.935542,48.297975 -121.636413,48.298525</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SKYKOMISH,98288,47.6427,351,WA,322.0033,98288,-121.339,347,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.377424,47.779998 -121.584725,47.704115 -121.586375,47.636481 -121.597372,47.533656 -121.243256,47.540254 -121.113487,47.596891 -121.118985,47.779998</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SNOHOMISH,98290,47.9478,30602,WA,108.86112,98290,-122.002,29466,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.854161,47.972452 -122.024071,48.053283 -122.055964,47.978501 -122.173636,47.943309 -122.051015,47.831135</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,STANWOOD,98292,48.2204,17897,WA,72.26387,98292,-122.309,17350,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.226423,48.297425 -122.303955,48.297425 -122.36939,48.291927 -122.397433,48.249587 -122.386436,48.225942 -122.363341,48.123116 -122.265464,48.139063</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SULTAN,98294,47.8734,6330,WA,378.19369,98294,-121.468,6080,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.838215,47.776148 -121.666656,47.773949 -121.718893,47.875675 -121.506644,47.777798 -121.377424,47.779998 -121.118985,47.779998 -121.147029,47.98125 -121.451657,47.968603 -121.794226,47.961455</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SUMAS,98295,48.9683,5086,WA,58.55474,98295,-122.122,2200,<Polygon><outerBound
